text,label
The document file got erased,plausible
I am pregnant and threw up,plausible
I forgot I had homework,plausible
I was busy celebrating my birthday,plausible
I didnt understand the assignment,plausible
Internet crashed,plausible
I was sick,plausible
I had a high fever and was resting all day.,plausible
"My laptop crashed, and I lost my progress.",plausible
There was a power outage in my neighborhood.,plausible
I had a family emergency and couldnt focus.,plausible
I submitted the wrong file by mistake.,plausible
I had back-to-back midterms and lost track of time.,plausible
I misunderstood the deadline and thought it was tomorrow.,plausible
I had to travel unexpectedly for a funeral.,plausible
"My younger sibling needed help, and I prioritized that.",plausible
I finished it but forgot to hit submit.,plausible
I broke my back and went to the hospital,plausible
I went to the hospital and was in pain,plausible
I got food poisoning,plausible
I was sick and couldnt get out of bed,plausible
There was a power outage last night,plausible
My younger sibling spilled water on my notebook,plausible
I had to take care of a family emergency,plausible
My computer crashed and I lost all files,plausible
I had to attend a funeral,plausible
I submitted it but the file didn’t upload properly,plausible
I was traveling and couldn’t find stable internet,plausible
I was waiting for clarification from the teacher,plausible
My alarm didn’t go off and I overslept,plausible
I had a dentist appointment that ran late,plausible
I had to help a sick relative,plausible
The assignment portal was down,plausible
I had an unexpected doctor’s appointment,plausible
I submitted the wrong file by accident,plausible
My dog pooped on it,plausible
My dog ate my homework,plausible
My cat ate my homework,plausible
My hamster chewed the USB cable,plausible
I was tired and fell asleep,plausible
I had a migraine and couldnt study,plausible
I was in a car accident,plausible
I accidentally submitted a draft instead,plausible
I was procrastinating until last minute and didnt have time,plausible
I was getting married,plausible
I thought the due date was tomorrow,plausible
I didnt have engery to do it,plausible
I was on family vacation,plausible
I accidentally submitted my grocery list instead of the assignment,funny
I wrote it as a rap and now it wont stop playing in my head,funny
I added so many memes that Google Docs crashed,funny
I wrote a roast of the assignment instead of doing it,funny
I started writing and ended up oversharing my childhood trauma,funny
I was explaining it to my friend and convinced myself it didnt need to be done,funny
I finished it but couldnt find the submit button on my fridge,funny
I wrote it all in Pig Latin and now I cant translate it back,funny
I used too many emojis and lost track of the actual content,funny
I tried to cite my dog as a source and it got flagged as plagiarism,funny
I narrated it dramatically to my mirror and forgot to type it,funny
I made a PowerPoint with sound effects and now it's stuck in loop mode,funny
I created an interpretive dance instead of a document,funny
I wrote it but my sense of humor got carried away and now its stand-up comedy material,funny
I turned it in... to my therapist by accident,funny
My keyboard autocorrected every answer into a joke,funny
I tried to make it funny and ended up roasting the teacher,funny
I asked my dad for help and now its a conspiracy theory,funny
I started writing it and realized halfway it was actually a grocery list with punchlines,funny
I made a meme version to stay engaged... and forgot the serious one,funny
I finished it during a caffeine high and now it's just riddles and cat metaphors,funny
I wrote a song instead of an essay and it slaps but it's not academic,funny
I tried to include humor and now my homework is just sarcasm and existential dread,funny
I recorded a podcast instead but it turned into a true crime story,funny
I tried to make it relatable  now it's a rant about Mondays,funny
I added jokes between paragraphs now its more stand-up than stand-alone,funny
"I thought laughter was the best answer, turns out it's not graded that way",funny
I peer reviewed my own work and gave it a laugh react,funny
I made a parody of the assignment instead of actually doing it,funny
I spent so long trying to make it funny I forgot to make it correct,funny
I fell asleep while waiting for ChatGPT to finish loading.,funny
My Sims caught on fire  and I had to save them.,funny
I got lost in thought and never came back.,funny
I was solving the assignment in a dream but forgot it upon waking.,fake
I was emotionally recovering from Avengers: Endgame.,funny
I started watching one YouTube video and woke up 3 hours later.,funny
My mother wanted to display it on the fridge,funny
My dad forgot to do it for me,funny
I left my homework in the back of a truck and went through a car wash,funny
The police confiscated it as evidence,funny
I trained my parrot to do it but he refused,funny
I dreamed I did it and thought it was real,funny
A squirrel stole my notes from the park bench,funny
I wrote it in invisible ink and forgot how to decode it,funny
I posted it on social media by mistake,funny
My phone autocorrected the entire document into emojis,funny
I was abducted... by chores,funny
I tried to impress my crush by doing double the work and failed both,funny
I used ChatGPT and forgot to copy the answer,funny
My dog joined a Zoom call and barked over my presentation,funny
My cat sat on my keyboard and sent gibberish to the professor.,funny
I sent it to NASA instead of my teacher by accident,funny
I gave my homework to Elon Musk for review,funny
I tried to fax it but the fax machine caught fire,funny
The spirit of Shakespeare rewrote it into a play,funny
I encoded it into Morse and forgot the key,funny
I turned it into origami and now it's a crane somewhere,funny
My digital pet corrupted the file while trying to help,funny
Google Docs auto-corrected my entire essay into emojis,funny
I saved it as a .invisible file by mistake, funny
I accidentally submitted it to NASA instead of the classroom portal, funny
My computer went into “emotional distress” and crashed, funny
I was abducted by aliens but they let me go after seeing my grades.,fake
I printed it and the printer ate the paper,fake
My plant knocked the laptop off the table,fake
I left it in my other dimension,fake
My dog printed my homework and ate it.,fake
"I had a Zoom call with destiny, and it didnt go well.",fake
I dropped my laptop in a lake while hiking Mount Everest.,fake
My neighbors parrot stole my USB drive.,fake
A ghost in my dorm corrupted my Word file.,fake
I sent it to you telepathically. Didnt you receive it?,fake
It got eaten by a shark,fake
My time machine glitched and took me to 2028.,fake
I outsourced it to a squirrel who ran off with the cash.,fake
I finished it in another multiverse.,fake
A black hole opened up in my room and swallowed it.,fake
My conscience wouldn't let me submit because it wasnt perfect.,fake
I couldnt do my homework because my room is haunted,fake
Grandma stole it,fake
My dad sold it,fake
It was stolen by a time traveler trying to fix their math grade in the past,fake
A black hole opened in my room and sucked it in,fake
My cat hacked into my laptop and deleted it,fake
The ghost in my house doesn't like math and erased it,fake
A wizard turned my homework into a frog,fake
My AI assistant rewrote it in ancient Greek,fake
A UFO landed and demanded all paper documents,fake
I accidentally fed it to my 3D printer,fake
The CIA confiscated it for national security,fake
I used it as a message to communicate with parallel dimensions,fake
My twin from an alternate universe needed it,fake
A meteor crashed into my backpack,fake
I uploaded it to the cloud and now it's literally in a cloud,fake
My smart fridge reformatted my USB stick,fake
It transformed into a sentient being and ran away,fake
A swarm of bees took it for nesting material,fake
My dog got abducted and took my homework with him,fake
I used it to defeat a boss in a dream world,fake
A rogue AI decided my work was inefficient and deleted it,fake
A hacker swapped it with a Rickroll link,fake
It was printed with disappearing ink,fake
I traded it for magic beans,fake
A sinkhole opened in my room and swallowed it,fake
I submitted it through time mail but it got stuck in 1842,fake
My homework teleported itself to another dimension,fake
"I trained a pigeon to deliver it, but it joined a flock heading south",fake
A parallel version of me in another timeline submitted it,fake
The school AI flagged it as too advanced and deleted it,fake
I turned it into a paper airplane and it flew away,fake
My computer mistook it for malware and blocked it,fake
